Time (s),Temperature (C)
0.5,26.8753974838757
1,26.8109861170631
1.5,26.7465747503503
2,26.7465747503503
2.5,26.5533406508109
3,26.8753974838757
3.5,26.9398088507882
4,26.2956951861556
4.5,26.8109861170631
5,26.8109861170631
5.5,26.4889292844974
6,26.8753974838757
6.5,26.4889292844974
7,26.4889292844974
7.5,26.7465747503503
8,26.8753974838757
8.5,27.3262770543601
9,27.6483338934169
9.5,28.2924475790257
10,28.8077385347118
10.5,29.3230294968006
11,29.9027318368083
11.5,29.9027318368083
12,29.9671432084209
12.5,30.5468455574431
