Time (s),Temperature (C)
0.5,28.0348021035827
1,27.905979366461
1.5,28.0348021035827
2,27.8415679980501
2.5,27.905979366461
3,27.905979366461
3.5,28.1636248411043
4,27.712745261528
4.5,27.9703907349719
5,27.5839225254058
5.5,27.8415679980501
6,27.5839225254058
6.5,27.6483338934169
7,27.2618656868485
7.5,27.5195111574945
8,27.7771566297391
8.5,27.2618656868485
9,27.3906884219717
9.5,27.5839225254058
10,27.5195111574945
10.5,27.3906884219717
11,27.6483338934169
11.5,27.1974543194367
12,27.3262770543601
12.5,27.2618656868485
13,27.3906884219717
13.5,27.6483338934169
14,27.712745261528
14.5,27.4550997896831
15,28.0348021035827
15.5,27.6483338934169
16,29.9671432084209
16.5,30.2892000679869
